lang,mode,qid,seed,accuracy_mean,manip_drift_mean
Luxembourgish,governed,dist_km,0,0.9463082558139534,-0.06711468023255827
Luxembourgish,governed,dist_km,1,0.9574755813953487,-0.05315552325581416
Luxembourgish,governed,dist_km,2,0.9775426744186047,0.028071656976744224
Luxembourgish,governed,dist_km,3,0.9084368604651163,0.11445392441860458
Luxembourgish,governed,year_gap,0,0.8488798850574714,0.3358224776500637
Luxembourgish,governed,year_gap,1,0.895264367816092,0.2327458492975733
Luxembourgish,governed,year_gap,2,0.9653252873563221,0.07705491698595111
Luxembourgish,governed,year_gap,3,0.9870747126436782,-0.02872286079182625
Luxembourgish,unconstrained,dist_km,0,0.9194682558139535,0.10066468023255812
Luxembourgish,unconstrained,dist_km,1,0.9170798837209303,0.10365014534883715
Luxembourgish,unconstrained,dist_km,2,0.9018699999999998,0.12266250000000015
Luxembourgish,unconstrained,dist_km,3,0.7704202325581396,0.2869747093023255
Luxembourgish,unconstrained,year_gap,0,0.7626787356321838,0.5273805874840359
Luxembourgish,unconstrained,year_gap,1,0.822801724137931,0.3937739463601534
Luxembourgish,unconstrained,year_gap,2,0.8697810344827586,0.28937547892720333
Luxembourgish,unconstrained,year_gap,3,0.9212959770114942,0.17489782886334618
Basque,governed,dist_km,0,0.9556258139534886,-0.055467732558139325
Basque,governed,dist_km,1,0.981189534883721,-0.023513081395348866
Basque,governed,dist_km,2,0.9945330232558139,0.0068337209302325366
Basque,governed,dist_km,3,0.9360482558139535,0.0799396802325582
Basque,governed,year_gap,0,0.851133908045977,0.3308135376756068
Basque,governed,year_gap,1,0.8972896551724138,0.22824521072796936
Basque,governed,year_gap,2,0.9653247126436785,0.07705619412515896
Basque,governed,year_gap,3,0.9601988505747125,-0.0884469987228611
Basque,unconstrained,dist_km,0,0.9150166279069768,0.10622921511627903
Basque,unconstrained,dist_km,1,0.9054279069767441,0.11821511627906976
Basque,unconstrained,dist_km,2,0.9129217441860465,0.10884781976744183
Basque,unconstrained,dist_km,3,0.7990624418604652,0.2511719476744185
Basque,unconstrained,year_gap,0,0.7558752873563218,0.5424993614303959
Basque,unconstrained,year_gap,1,0.8201114942528736,0.39975223499361434
Basque,unconstrained,year_gap,2,0.8827477011494252,0.26056066411238843
Basque,unconstrained,year_gap,3,0.924487356321839,0.1678058748403578
Russian,governed,dist_km,0,0.8914222093023256,-0.135722238372093
